"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"151","Eric Gordon","Lac","G","34.3","18","26","16.4","10","37","0.838","56","0.536","87","0.448","0.619","0.653","11.6","1.7","2.2","0.6","0.4","0.9","13.3","13.8","15.5","5.4","127.2","113.3"
"152","Max Strus","Mia","G-F","27","75","28.7","17.6","8","87","0.885","218","0.569","530","0.343","0.531","0.554","11.6","3.3","2.1","0.6","0.1","0.9","14.9","13.7","17","6","112.7","110.1"
"153","Kris Dunn","Uta","G","29","16","23.6","20.4","13","35","0.743","118","0.517","29","0.414","0.537","0.567","11.5","4.1","5.2","1.1","0.4","1.4","15.6","16.7","20.8","10.6","121.3","107"
"154","Kyle Lowry","Mia","G","37","51","32.1","16.8","17.5","127","0.858","170","0.506","295","0.346","0.514","0.563","11.5","4.2","5.1","1.1","0.4","1.9","15.7","16.6","20.8","7.8","113.7","107.6"
"155","Naz Reid","Min","C-F","23.6","68","18.4","24.8","13.7","127","0.677","360","0.653","217","0.346","0.602","0.617","11.5","4.9","1.1","0.6","0.8","1.4","16.4","12.6","17.5","8.6","112.6","100.8"
"156","Josh Richardson","San","G","29.5","42","23.7","20.6","13.4","60","0.883","199","0.518","207","0.357","0.527","0.556","11.5","2.8","3.3","1","0.3","1.5","14.3","14.7","17.5","8","110.5","116.8"
"157","Zach Collins","San","F-C","25.4","61","22.7","21.1","19.2","137","0.759","381","0.57","140","0.371","0.566","0.597","11.4","6.3","2.8","0.6","0.7","2","17.7","14.2","20.5","10.3","112.1","107.6"
"158","Marcus Smart","Bos","G","29.1","59","32.2","17.5","19.5","115","0.757","249","0.518","322","0.339","0.512","0.541","11.4","3.1","6.4","1.5","0.4","2.3","14.5","17.8","20.9","7.6","111.3","106.1"
"159","John Wall","Lac","G","32.6","34","22.2","27.1","19.1","113","0.681","229","0.459","109","0.303","0.457","0.498","11.4","2.7","5.2","0.8","0.4","2.4","14.1","16.6","19.3","9.8","102.2","109.8"
"160","Bones Hyland","Lac","G","22.5","9","18.5","27.4","11.2","14","0.714","41","0.463","46","0.391","0.529","0.547","11.3","3.4","4","0.9","0.2","1.2","14.8","15.3","18.8","11.6","117","102.8"
"161","Isaiah Stewart","Det","F-C","21.9","50","28.3","17.3","13.4","149","0.738","236","0.542","205","0.327","0.518","0.56","11.3","8.1","1.4","0.4","0.7","1.4","19.4","12.7","20.8","7.1","113.7","110.7"
"162","Malik Beasley","Lal","G","26.3","20","25","21.3","11.7","12","0.583","68","0.441","150","0.347","0.495","0.499","11.2","3.4","1.3","1","0","1.5","14.6","12.4","15.8","5.9","92.6","111.4"
