"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"340","Dario Saric","Pho","F","29","37","14.4","18.7","16.8","44","0.818","109","0.45","69","0.391","0.503","0.545","5.8","3.8","1.5","0.4","0.1","1","9.6","7.4","11.2","8.9","110.5","101.9"
"341","Charles Bassey","San","C-F","22.4","35","14.5","15.7","23.3","37","0.595","127","0.661","8","0.375","0.656","0.658","5.7","5.5","1.3","0.5","0.9","1.2","11.2","7","12.5","9.5","120.8","105.2"
"342","Dewayne Dedmon","Mia","C","33.6","30","11.7","21.3","12.8","44","0.727","92","0.576","37","0.297","0.539","0.576","5.7","3.6","0.5","0.2","0.5","0.6","9.3","6.2","9.9","7.4","113.4","94.8"
"343","Simone Fontecchio","Uta","F","27.3","46","13.5","19.8","11.5","40","0.825","93","0.409","152","0.336","0.467","0.499","5.7","1.4","0.8","0.2","0.2","0.7","7.1","6.5","7.8","5.5","101.7","114.4"
"344","Wenyen Gabriel","Lal","F","26","62","15.3","14.5","14.6","84","0.619","212","0.642","33","0.303","0.616","0.628","5.7","4.3","0.5","0.4","0.5","0.7","10","6.2","10.5","6","125.3","101.4"
"345","R.J. Hampton","Orl","G","22.1","26","13.9","18","15.5","37","0.838","61","0.525","53","0.34","0.518","0.572","5.7","1.5","1.3","0.6","0.2","0.8","7.2","7","8.5","6.4","111.4","111.5"
"346","Jalen McDaniels","Phi","F-C","25.2","18","15.7","15.7","10.3","28","0.786","61","0.541","17","0.294","0.519","0.57","5.7","3","0.6","0.4","0.1","0.5","8.7","6.3","9.3","5.5","116.5","100.4"
"347","Rodney McGruder","Det","G","31.7","32","16.4","14","6.7","22","0.818","55","0.382","97","0.423","0.543","0.566","5.7","2.3","0.9","0.5","0","0.3","8","6.6","8.9","5.6","119.3","114.9"
"348","Yuta Watanabe","Bro","G-F","28.5","53","16.5","12.9","8.5","45","0.733","94","0.564","121","0.446","0.623","0.641","5.7","2.5","0.8","0.5","0.3","0.4","8.2","6.5","9","5.5","126.5","110.3"
"349","Alex Caruso","Chi","G","29.1","62","23.8","11.1","21.7","73","0.808","127","0.543","140","0.364","0.545","0.585","5.6","3","3","1.5","0.6","1.2","8.6","8.6","11.6","6.2","114.7","104.5"
"350","Josh Christopher","Hou","G","21.3","59","11.6","22.1","15.5","54","0.778","208","0.548","80","0.25","0.5","0.529","5.6","1.1","1.1","0.5","0.2","0.9","6.6","6.7","7.7","6.5","102.7","115.8"
"351","Kevin Knox II","Det","F","23.6","42","14.1","16.2","15.1","33","0.788","63","0.651","116","0.371","0.589","0.612","5.6","2.6","0.4","0.3","0.3","0.8","8.2","6","8.6","5.1","109.6","108.4"
"352","Saben Lee","Pho","G","23.8","20","14.6","18.2","19.2","47","0.766","65","0.415","19","0.368","0.446","0.53","5.6","1.9","2.7","0.7","0.1","1","7.4","8.2","10.1","8.4","112.9","108.2"
"353","Davion Mitchell","Sac","G","24.6","75","18","14","13.4","31","0.806","188","0.59","181","0.32","0.537","0.55","5.6","1.3","2.2","0.5","0.2","0.8","6.9","7.9","9.2","5.6","111.6","112.5"
"354","Derrick Rose","Nyk","G","34.5","27","12.5","23.7","12.1","12","0.917","96","0.438","63","0.302","0.443","0.463","5.6","1.5","1.7","0.3","0.2","0.8","7.1","7.3","8.8","7.8","99.3","113.3"
"355","Nikola Jovic","Mia","F","19.8","15","13.6","19","12.6","19","0.947","34","0.588","35","0.229","0.464","0.53","5.5","2.1","0.7","0.5","0.1","0.7","7.5","6.1","8.2","5.9","105.9","106.4"
"356","Otto Porter Jr.","Tor","F","29.8","8","18.3","10.9","11.6","8","1","13","0.692","17","0.353","0.6","0.656","5.5","2.4","1","1.4","0","0.5","7.9","6.5","8.9","5.2","132.4","111.6"
"357","Ricky Rubio","Cle","G","32.4","28","17.3","17.7","15.2","33","0.788","79","0.456","71","0.268","0.43","0.471","5.5","2.2","3.4","0.9","0.2","1","7.7","8.9","11.1","8","105.9","103.6"
"358","Jarrell Brantley","Uta","F","26.8","4","9.8","18.1","12.2","2","1","5","0.8","9","0.444","0.714","0.739","5.5","1.5","0.8","0","0.5","0.5","7","6.3","7.8","7.7","134.1","113.8"
"359","Darius Bazley","Okc","F-G","22.8","36","15.4","15.7","12.2","65","0.554","113","0.469","45","0.4","0.506","0.525","5.4","3.4","0.9","0.5","0.8","0.6","8.8","6.3","9.7","6.6","108.4","110.2"
"360","Montrezl Harrell","Phi","F-C","29.2","53","12","18.2","14.1","87","0.69","186","0.608","3","0","0.598","0.629","5.4","2.7","0.6","0.3","0.5","0.6","8.1","6","8.7","6.9","125.5","104.1"
"361","Devonte' Graham","Nor","G","28.1","53","15.3","15","10.5","59","0.746","41","0.463","190","0.347","0.511","0.545","5.3","1.4","2.2","0.6","0.2","0.5","6.6","7.5","8.8","6.6","118.3","110.8"
"362","Javonte Green","Chi","G-F","29.7","31","15","13.7","15.8","43","0.674","72","0.667","34","0.382","0.637","0.656","5.3","2.7","0.7","0.7","0.7","0.6","8","6","8.8","5.7","124.4","103.4"
"363","Jalen Johnson","Atl","F","21.3","63","14.7","15.1","10.2","66","0.652","184","0.571","89","0.292","0.527","0.548","5.3","4","1","0.5","0.4","0.5","9.2","6.3","10.3","7.5","114.9","106.2"
"364","Lamar Stevens","Cle","F","25.7","57","18","13.4","8.4","53","0.698","176","0.528","84","0.321","0.513","0.536","5.3","3.3","0.5","0.4","0.3","0.4","8.6","5.9","9.2","4.6","111.7","106.6"
"365","Jae Crowder","Mil","F","32.7","13","18","10.6","9.2","11","0.818","15","0.667","34","0.382","0.602","0.632","5.2","3.8","1.4","0.4","0.3","0.4","9.1","6.6","10.5","6.7","135.4","105.9"
"366","Rudy Gay","Uta","F-G","36.6","56","14.6","17.7","11.4","49","0.857","157","0.484","130","0.254","0.437","0.475","5.2","2.9","1","0.3","0.3","0.7","8.1","6.3","9.2","6.8","101.1","110.9"
"367","Ziaire Williams","Mem","F","21.5","36","14.7","17.3","16.9","18","0.778","88","0.602","89","0.247","0.486","0.503","5.2","2.1","0.7","0.4","0.1","1","7.3","5.9","8","5.4","93.2","104.9"
"368","MarJon Beauchamp","Mil","F","22.5","47","13","18.7","15.5","33","0.697","91","0.505","126","0.325","0.495","0.514","5.1","2.1","0.6","0.4","0.1","0.9","7.2","5.6","7.8","5.7","99","104.6"
"369","Vlatko Cancar","Den","F","26","54","15","13.8","13.7","34","0.912","103","0.583","105","0.4","0.591","0.621","5.1","2.2","1.4","0.3","0.2","0.6","7.3","6.5","8.6","6.7","120.9","108.6"
"370","Jaxson Hayes","Nor","C-F","22.9","46","13.2","15.7","16.6","83","0.699","126","0.659","29","0.103","0.565","0.608","5.1","2.8","0.7","0.4","0.4","0.7","7.9","5.8","8.7","6.5","118","103.3"
"371","Kevin Knox II","Por","F","23.6","15","12.3","19","7.6","5","1","39","0.615","33","0.242","0.5","0.519","5.1","2.7","0.5","0.3","0","0.4","7.9","5.6","8.3","6.2","106","111.4"
"372","John Konchar","Mem","G","27","67","20.8","10.4","10.8","35","0.8","128","0.523","170","0.347","0.522","0.541","5.1","4.2","1.3","1","0.3","0.5","9.2","6.4","10.6","5.8","115.5","105.6"
"373","Lindy Waters III","Okc","F","25.7","37","12.8","15.3","6","18","0.833","13","0.692","142","0.366","0.561","0.58","5.1","1.7","0.7","0.3","0.2","0.3","6.8","5.8","7.5","5.7","119.6","111"
"374","George Hill","Mil","G","36.9","35","19.1","11.3","16.9","46","0.739","58","0.621","74","0.311","0.534","0.575","5","1.9","2.5","0.5","0.1","0.8","6.9","7.5","9.5","6","120.8","109.9"
"375","Jonathan Isaac","Orl","F","25.5","11","11.3","21.1","7","9","0.556","38","0.421","15","0.4","0.472","0.483","5","4","0.5","1.3","0.4","0.4","9","5.5","9.5","7.6","108.4","105.4"
"376","Derrick Jones Jr.","Chi","F","26.1","59","14","14.4","10.2","79","0.759","143","0.587","69","0.333","0.559","0.602","5","2.4","0.6","0.4","0.6","0.4","7.4","5.6","8","5.5","124.3","106.9"
"377","Cody Martin","Cha","F","27.5","7","19.1","12.9","5.2","7","0.571","22","0.5","14","0.214","0.431","0.448","5","3.4","1.6","0.6","0.1","0.3","8.4","6.6","10","6.3","108.1","109.3"
"378","Ousmane Dieng","Okc","F","19.9","34","14.8","15.5","11.2","17","0.588","73","0.575","86","0.279","0.491","0.499","4.9","2.8","1","0.4","0.2","0.6","7.6","5.9","8.6","6.5","102.4","110"
"379","Isaiah Hartenstein","Nyk","C-F","24.9","77","19.8","11.2","17.1","64","0.719","269","0.569","37","0.216","0.539","0.563","4.9","6.6","1.1","0.6","0.8","0.8","11.5","6","12.6","6.6","123.7","100.7"
"380","Zeke Nnaji","Den","F-C","22.2","49","13.3","14.3","12.3","58","0.672","115","0.713","49","0.265","0.619","0.638","4.9","2.5","0.3","0.3","0.4","0.5","7.4","5.3","7.7","4.6","126.7","103.7"
"381","Eugene Omoruyi","Okc","F","26.1","23","11.8","18.8","14.5","28","0.607","63","0.571","31","0.258","0.511","0.531","4.9","2.3","0.5","0.6","0","0.7","7.2","5.4","7.7","6","105.3","99.6"
"382","Austin Rivers","Min","G","30.7","52","19.5","10.5","9.9","39","0.769","86","0.558","123","0.35","0.538","0.564","4.9","1.6","1.4","0.5","0.1","0.4","6.5","6.3","7.9","4.6","114.5","112"
"383","DeAndre Jordan","Den","C","34.7","35","14.3","13.7","30.2","41","0.439","96","0.771","1","1","0.778","0.735","4.8","4.8","0.9","0.2","0.6","1.2","9.6","5.7","10.5","7.7","116","101.4"
"384","Garrison Mathews","Hou","G","26.4","45","13.4","14.4","9.6","45","0.911","15","0.467","155","0.342","0.509","0.564","4.8","1.4","0.5","0.5","0.1","0.4","6.1","5.3","6.6","4.5","116.9","113.9"
"385","Chimezie Metu","Sac","F-C","26","62","10.6","17.1","12.3","58","0.759","169","0.669","37","0.243","0.614","0.641","4.8","3","0.6","0.3","0.3","0.5","7.8","5.4","8.5","7.7","126","103.9"
"386","Day'Ron Sharpe","Bro","F","21.4","42","11.4","19.6","20.8","44","0.636","141","0.546","11","0.545","0.566","0.584","4.8","4.1","0.8","0.3","0.7","1","8.9","5.5","9.7","8.8","118.4","98.6"
"387","Keon Johnson","Por","G","21.1","40","10.4","25.1","19.4","41","0.659","97","0.402","81","0.346","0.455","0.482","4.7","1.1","1.5","0.5","0.2","1.1","5.8","6.2","7.3","7.6","93.5","110.8"
"388","Kira Lewis Jr.","Nor","G","22","24","9.7","19.7","10.2","20","0.85","54","0.463","34","0.441","0.54","0.579","4.7","1.4","1","0.4","0.1","0.4","6","5.6","7","7.7","116.4","104.3"
"389","Payton Pritchard","Bos","G","25.2","46","12.5","19","13.2","15","0.733","80","0.488","130","0.331","0.493","0.503","4.7","1.5","1","0.3","0","0.7","6.3","5.8","7.3","6.1","100.5","110.2"
"390","Blake Wesley","San","G","20","31","16.9","19","22.9","40","0.625","128","0.289","43","0.372","0.357","0.39","4.7","2","2.5","0.6","0.1","1.6","6.7","7.2","9.2","6.8","80.1","112.6"
"391","Moses Brown","Lac","C","23.5","34","8.5","21.5","12.7","72","0.458","96","0.635","0","0","0.635","0.607","4.6","4.1","0.1","0.1","0.4","0.4","8.6","4.7","8.8","5.8","126","100.3"
"392","Johnny Juzang","Uta","G","22","14","12","19.1","2.7","4","0.5","24","0.542","49","0.245","0.425","0.428","4.6","1.9","0.5","0.2","0.2","0.1","6.4","5.1","6.9","5.4","95.3","113.9"
"393","TyTy Washington Jr.","Hou","G","21.4","30","13.8","17.7","8.3","16","0.625","77","0.494","78","0.218","0.41","0.423","4.6","1.4","1.6","0.4","0.1","0.5","6","6.1","7.5","6.3","97.3","117.2"
"394","Cody Zeller","Mia","F-C","30.5","12","12.8","16.4","24.3","27","0.704","33","0.545","1","0","0.529","0.599","4.6","3.9","0.6","0.2","0.3","0.9","8.5","5.2","9.1","6.9","117.3","97.4"
"395","Goga Bitadze","Orl","C-F","23.7","11","12","14.4","9.9","10","0.6","29","0.655","7","0.286","0.611","0.619","4.5","4.2","1","0.4","0.8","0.4","8.7","5.5","9.7","8.9","135.5","103.2"
"396","Malachi Flynn","Tor","G","24.9","49","13.1","17.1","9.4","29","0.724","94","0.351","128","0.352","0.453","0.473","4.5","1.4","1.3","0.4","0.1","0.5","6","5.9","7.3","6.2","104.2","109.4"
"397","A.J. Green","Mil","G","23.5","33","9.7","16.6","7.2","4","1","19","0.474","97","0.433","0.621","0.628","4.5","1.2","0.6","0.2","0","0.3","5.7","5.1","6.3","6.1","123.1","106.6"
"398","Justin Holiday","Atl","F-G","34","28","14.7","14","8.8","0","0","38","0.474","87","0.345","0.504","0.504","4.5","0.8","0.9","0.2","0.4","0.4","5.3","5.4","6.2","4","101.7","113.6"
"399","Mike Muscala","Bos","F-C","31.7","15","14","13.3","7.9","2","0.5","13","0.615","45","0.378","0.578","0.577","4.5","2.7","0.5","0.3","0.3","0.3","7.3","5","7.7","5.2","112.8","104.6"
"400","Chuma Okeke","Orl","F","24.6","23","18.1","11.8","10.4","21","0.762","29","0.483","65","0.308","0.468","0.504","4.5","3.5","1.1","0.5","0.4","0.5","8","5.7","9.1","5.7","112.1","108.4"
"401","Dean Wade","Cle","F-C","26.4","39","19.9","10.2","8.4","23","0.652","43","0.558","109","0.349","0.533","0.546","4.5","3.3","0.8","0.6","0.5","0.4","7.9","5.4","8.7","4.6","113.2","102.1"
"402","Gary Payton II","Gol","G","30.3","2","12.3","10.1","18.4","2","1","2","1","2","0.5","0.875","0.922","4.5","1.5","0.5","0.5","0.5","0.5","6","5","6.5","4.9","160","116.8"
"403","Mo Bamba","Lal","C","24.9","7","11.5","19.3","24.8","11","0.545","9","0.556","15","0.333","0.521","0.537","4.4","5.3","0.6","0.1","0.6","1.1","9.7","5","10.3","8.4","99.7","90"
"404","Dalano Banton","Tor","F","23.4","27","9.3","23.3","12.4","19","0.789","67","0.493","46","0.283","0.465","0.494","4.4","1.3","1.1","0.5","0.4","0.6","5.8","5.5","6.9","7.9","102.8","104"
"405","Jamal Cain","Mia","F","24","15","12.4","14.6","7.4","16","0.75","38","0.632","12","0.167","0.54","0.579","4.4","2.6","0.6","0.5","0","0.3","7","5","7.6","6.1","123.6","106.3"
"406","Jarrett Culver","Atl","G-F","24.1","10","13.7","17.1","13.9","13","0.692","31","0.516","12","0.083","0.407","0.452","4.4","3.8","0.6","0.6","0.2","0.7","8.2","5","8.8","6.3","96.6","106.2"
"407","Moses Moody","Gol","G","20.8","59","12.7","14.4","13.7","52","0.692","79","0.62","123","0.341","0.554","0.578","4.4","1.6","0.8","0.3","0.1","0.5","6","5.2","6.8","5.6","112.1","114.2"
"408","Dru Smith","Bro","G","25.3","7","9.2","19","3.6","1","1","13","0.692","13","0.308","0.577","0.586","4.4","1.4","1.6","0.7","0.1","0.1","5.9","6","7.4","9.3","128.3","104"
"409","T.J. Warren","Pho","F","29.6","13","12.2","16.4","3.3","2","0.5","45","0.489","13","0.308","0.483","0.484","4.4","3","0.5","0.4","0.3","0.2","7.4","4.8","7.8","6.2","108.1","104.9"
"410","Thaddeus Young","Tor","F","34.8","54","14.7","13.5","17.5","26","0.692","164","0.622","34","0.176","0.561","0.573","4.4","3.1","1.4","1","0.1","0.8","7.5","5.8","8.9","7.3","116.7","104.2"
"411","Christian Braun","Den","G","22","70","14.7","12.3","10.8","52","0.596","158","0.557","81","0.383","0.563","0.573","4.3","2.2","0.7","0.4","0.2","0.4","6.5","5","7.2","5.1","115.7","109.1"
"412","Blake Griffin","Bos","F","34","36","13.9","13.1","13.1","28","0.607","60","0.633","59","0.356","0.584","0.594","4.3","3.6","1.3","0.3","0.2","0.5","7.9","5.6","9.2","7.8","126.5","99.1"
"413","Haywood Highsmith","Mia","F","26.3","51","17.5","12.3","15.7","26","0.462","95","0.516","103","0.35","0.52","0.52","4.3","3.3","0.7","0.7","0.3","0.7","7.6","5","8.3","4.9","102.7","106.6"
"414","Danuel House Jr.","Phi","F-G","29.8","50","14.1","12.8","12.7","46","0.696","64","0.656","94","0.351","0.579","0.603","4.3","1.6","0.7","0.3","0.2","0.5","5.9","5","6.7","4.8","114.4","109"
"415","Ish Wainright","Pho","F","28.5","55","15.3","12.3","9.1","29","0.862","52","0.5","158","0.342","0.51","0.536","4.3","2.3","0.9","0.7","0.3","0.4","6.7","5.3","7.6","5.4","116.9","103.3"
"416","Patrick Baldwin Jr.","Gol","F","20.4","27","7.8","22.8","9.8","6","0.667","23","0.435","78","0.385","0.545","0.55","4.2","1.3","0.3","0.2","0.1","0.4","5.6","4.5","5.9","6","99.1","111.2"
"417","Davis Bertans","Dal","F","30.4","42","10.6","15.7","6.7","12","0.833","16","0.688","122","0.393","0.601","0.614","4.2","1","0.5","0.2","0.1","0.2","5.2","4.7","5.7","4.8","119.1","108.8"
"418","Bismack Biyombo","Pho","C","30.6","56","14.3","13.9","21.4","63","0.302","184","0.582","0","0","0.582","0.55","4.2","4.2","0.9","0.3","1.4","0.9","8.4","5.1","9.3","7","106.7","100.9"
"419","James Bouknight","Cha","G","22.5","29","13.2","18.2","13.4","24","0.667","63","0.413","72","0.25","0.393","0.419","4.2","2","1.1","0.5","0.2","0.7","6.2","5.3","7.3","6.4","86.4","109.4"
"420","Thomas Bryant","Den","C-F","25.7","17","10.8","18.6","14.2","18","0.722","54","0.481","6","0.333","0.483","0.523","4.2","3.1","0.1","0.1","0.4","0.6","7.2","4.3","7.4","4","105","103.5"
"421","Kessler Edwards","Sac","F","22.6","16","13.3","12","12.9","12","0.833","18","0.667","29","0.379","0.606","0.641","4.2","1.9","0.9","0.3","0.3","0.4","6.1","5.1","7","5.8","128.8","108.3"
"422","JaVale McGee","Dal","C-F","35.2","39","8.1","23.6","23.6","37","0.595","109","0.633","4","0.25","0.624","0.63","4.2","2.5","0.3","0.1","0.6","0.9","6.7","4.4","7","7.2","105.6","100.1"
"423","Daishen Nix","Hou","G","21.1","53","16.5","15.4","26.6","36","0.667","93","0.419","133","0.301","0.438","0.459","4.2","1.8","2.4","0.6","0.1","1.5","6","6.6","8.4","6.4","90","117.2"
"424","Bruno Fernando","Hou","F-C","24.6","31","11.7","15.1","17.7","44","0.682","92","0.522","1","0","0.516","0.561","4.1","3.9","1","0.2","1","0.6","8","5","9","8.6","118.6","101.3"
"425","Serge Ibaka","Mil","F","33.5","16","11.6","16","16.9","13","0.615","36","0.556","18","0.333","0.537","0.553","4.1","2.8","0.3","0.1","0.4","0.7","6.9","4.4","7.1","5.2","105","102.1"
"426","Bryce McGowens","Cha","G","20.4","41","15.4","13.6","16.5","52","0.75","90","0.389","61","0.328","0.43","0.486","4.1","1.7","1","0.3","0.1","0.7","5.9","5.1","6.9","5","97.4","114.7"
"427","Gary Payton II","Por","G","30.3","15","17.1","9.3","22.5","4","1","24","0.625","17","0.529","0.695","0.713","4.1","2.6","1.5","1","0.1","0.8","6.7","5.5","8.1","5.9","127","108"
"428","Isaiah Roby","San","F","25.2","42","11.3","17.8","16.6","41","0.488","95","0.516","60","0.3","0.49","0.497","4.1","2.5","0.9","0.4","0.2","0.7","6.6","5","7.5","7.4","96.6","109.9"
"429","Admiral Schofield","Orl","F","26","33","11.7","12.9","6.5","19","0.895","39","0.667","62","0.355","0.584","0.617","4.1","1.7","0.8","0.2","0.1","0.2","5.8","4.8","6.5","6.1","131.8","103.9"
"430","Justin Holiday","Dal","F-G","34","15","16.1","12.9","13.4","4","0.5","14","0.571","44","0.318","0.5","0.502","4","1.6","0.9","0.7","0.5","0.6","5.6","4.9","6.5","4.5","95.7","107.5"
"431","Meyers Leonard","Mil","F-C","31.1","6","8.5","14.7","12.2","4","0.75","4","0.75","10","0.5","0.75","0.761","4","2.2","0","0.2","0","0.3","6.2","4","6.2","0","132.6","98.6"
"432","Garrison Mathews","Atl","G","26.4","6","8.7","14.8","5.8","3","0.667","4","0.5","12","0.5","0.688","0.693","4","1.2","0.3","0.2","0","0.2","5.2","4.3","5.5","5.2","132.7","112.4"
"433","Aaron Holiday","Atl","G","26.5","58","13.5","13.2","13.7","30","0.833","122","0.426","79","0.418","0.505","0.532","3.9","1.2","1.4","0.6","0.2","0.6","5.1","5.3","6.5","5.5","110.6","111"
"434","Orlando Robinson","Mia","C","22.7","29","13.7","12.7","14.8","29","0.724","81","0.568","5","0","0.535","0.572","3.9","4.1","0.7","0.4","0.4","0.5","8","4.6","8.7","6.5","122.9","100.3"
"435","Matt Ryan","Lal","F","26","12","10.8","17.7","5.7","5","0.8","14","0.143","35","0.371","0.439","0.459","3.9","1.2","0.3","0.2","0","0.3","5.1","4.3","5.4","4.1","94.8","107.4"
"436","Jamaree Bouyea","Mia","G","23.8","4","16.3","12.2","23.2","2","0.5","8","0.5","5","0.4","0.538","0.54","3.8","1.3","1","1","0.5","1","5","4.8","6","4.2","93.1","107.7"
"437","Dyson Daniels","Nor","G","20","55","18.1","11.5","21.5","37","0.622","116","0.483","81","0.309","0.475","0.492","3.8","3.2","2.3","0.8","0.2","1","7","6.2","9.4","6.7","103.3","104.3"
"438","Darius Days","Hou","F","23.4","4","6.3","21.4","0","2","1","2","1","10","0.3","0.542","0.582","3.8","1.5","0.3","0","0.3","0","5.3","4","5.5","7.6","131.2","114.5"
"439","Luke Kornet","Bos","F-C","27.7","64","11.4","11.6","13.5","37","0.811","142","0.725","11","0.273","0.703","0.724","3.8","2.8","0.7","0.2","0.7","0.4","6.6","4.5","7.3","6.9","147.4","104.8"
"440","Jordan McLaughlin","Min","G","27","39","15.9","11.9","18","14","0.786","64","0.578","72","0.292","0.504","0.521","3.8","1.5","3.3","0.8","0.1","0.8","5.3","7.1","8.6","6.7","117.2","115.4"
"441","Paul Reed","Phi","F","23.8","63","10.4","15.8","18.3","43","0.721","170","0.606","4","0","0.592","0.614","3.8","3.6","0.3","0.6","0.7","0.6","7.3","4.1","7.7","6.2","122.8","93.5"
"442","Nathan Knight","Min","F-C","25.5","36","7.9","18.2","19.5","55","0.691","56","0.643","22","0.364","0.615","0.656","3.7","1.5","0.4","0.3","0.2","0.5","5.2","4.1","5.6","6.6","120.7","104.9"
"443","McKinley Wright IV","Dal","G","24.4","24","11.8","15.9","19.5","16","0.688","52","0.538","22","0.318","0.52","0.543","3.7","1.7","2.1","0.3","0.2","0.8","5.3","5.8","7.5","8","113.1","111.7"
"444","Bryn Forbes","Min","G","29.7","25","10.7","16.2","12.6","15","1","37","0.432","46","0.304","0.446","0.497","3.6","0.6","0.7","0.3","0.1","0.5","4.2","4.2","4.8","4.3","98.6","112.8"
"445","Damian Jones","Uta","C","27.8","14","13.9","9.1","22.3","5","0.8","22","0.636","9","0.667","0.742","0.753","3.6","3.1","0.5","0.2","0.6","0.6","6.7","4.1","7.2","5.1","132.2","107.2"
"446","Markieff Morris","Bro","F","33.6","27","10.6","15.6","14.5","10","1","33","0.394","49","0.408","0.524","0.556","3.6","2.2","0.9","0.3","0.2","0.5","5.7","4.5","6.7","7.3","111.1","105.5"
"447","Matt Ryan","Min","F","26","21","8.4","15.7","6.4","7","0.857","10","0.6","48","0.396","0.595","0.614","3.6","0.6","0.5","0.1","0","0.2","4.1","4.1","4.7","4.9","121.2","113.8"
"448","Caleb Houstan","Orl","G","20.2","46","15.3","10.6","9.5","13","0.846","40","0.45","112","0.339","0.493","0.51","3.5","2","0.5","0.2","0.1","0.3","5.5","4","6","4","108.4","110.5"
"449","Furkan Korkmaz","Phi","G-F","25.7","33","8.9","19.2","18","34","0.706","54","0.5","37","0.351","0.511","0.552","3.5","1","0.6","0.2","0.1","0.6","4.5","4.2","5.2","5.8","101.7","113.8"
"450","Kenneth Lofton Jr.","Mem","F","20.6","19","5.5","26.9","9.6","13","0.538","44","0.5","12","0.417","0.527","0.535","3.5","1.5","0.9","0.2","0.1","0.3","5","4.4","5.9","12.2","115.5","94.7"
"451","Max Christie","Lal","G","20.1","38","13.3","10.3","10.2","16","0.875","43","0.419","62","0.419","0.543","0.571","3.4","1.9","0.5","0.2","0.2","0.3","5.3","3.9","5.8","4.4","111.7","110.6"
"452","Amir Coffey","Lac","G-F","25.8","48","12.7","13.4","12.3","59","0.78","104","0.423","38","0.263","0.415","0.488","3.4","1.1","1.1","0.1","0.1","0.4","4.5","4.5","5.6","5","107.4","112.2"
"453","George Hill","Ind","G","36.9","9","14","9.6","18.2","4","1","9","0.667","13","0.385","0.614","0.652","3.4","1.6","1.4","0.7","0.3","0.6","5","4.9","6.4","5.6","122.6","113.8"
"454","Wesley Matthews","Mil","G","36.5","47","15.5","9.8","10.6","24","0.875","31","0.516","112","0.313","0.479","0.514","3.4","2.1","0.6","0.4","0.3","0.4","5.5","4","6.1","4.2","112.1","106.4"
"455","Miles McBride","Nyk","G","22.6","59","11.8","14.4","11","40","0.675","69","0.449","124","0.306","0.456","0.482","3.4","0.8","1.2","0.6","0.1","0.4","4.3","4.6","5.4","5","106.7","109.9"
"456","Jericho Sims","Nyk","C","24.4","50","15.6","7.6","19.9","16","0.75","103","0.777","1","0","0.769","0.774","3.4","4.6","0.5","0.3","0.6","0.5","8.1","3.9","8.6","5.1","145.5","103.5"
"457","JT Thor","Cha","F","20.6","64","12.7","12.6","14.5","37","0.649","96","0.531","99","0.303","0.492","0.511","3.4","2","0.5","0.3","0.3","0.5","5.4","3.9","5.9","4.7","100.4","112"
"458","P.J. Tucker","Phi","F","37.9","71","25.6","6.3","16.6","23","0.826","79","0.481","127","0.378","0.534","0.553","3.4","4","0.8","0.5","0.2","0.6","7.3","4.2","8.1","3.5","117.6","107.8"
"459","Goga Bitadze","Ind","C-F","23.7","21","9.6","15.5","18.7","24","0.458","38","0.605","14","0.286","0.558","0.551","3.3","2.3","0.9","0.4","0.5","0.6","5.6","4.1","6.5","7.9","115.4","103.7"
"460","David Duke Jr.","Bro","G","23.5","20","9","20.5","19.2","11","0.636","55","0.509","8","0.125","0.468","0.486","3.3","1.1","0.8","0.4","0.1","0.8","4.4","4.1","5.2","6.3","92.5","103.9"
"461","Taj Gibson","Was","F","37.8","46","9.9","15","17.4","40","0.7","95","0.6","19","0.211","0.553","0.585","3.3","2","0.7","0.3","0.3","0.5","5.3","4.1","6","6.7","115.8","99.2"
"462","Kevon Harris","Orl","G","25.8","31","12.3","12.4","16.1","27","0.815","53","0.434","30","0.367","0.476","0.532","3.3","1.9","0.4","0.5","0.1","0.5","5.2","3.7","5.6","4.4","108.6","105.6"
"463","Josh Minott","Min","F","20.3","14","6.6","18.9","8","8","1","28","0.571","6","0.333","0.559","0.613","3.3","1.8","0.3","0.3","0.4","0.2","5.1","3.6","5.4","7.3","122.8","103.3"
"464","Kai Jones","Cha","C-F","22.2","41","10.7","12.2","20.3","23","0.739","82","0.634","12","0.25","0.601","0.624","3.2","2.7","0.2","0.3","0.5","0.6","5.9","3.4","6","4.5","111.7","104.4"
"465","Jason Preston","Lac","G","23.6","13","9.4","18.6","19.6","2","0","23","0.565","18","0.278","0.5","0.489","3.2","1.7","2.1","0.2","0","0.8","4.8","5.2","6.9","9.6","102.4","111.6"
"466","Johnny Davis","Was","G","21.1","22","9.7","16.7","7.9","13","0.538","48","0.479","22","0.227","0.436","0.449","3.1","1.5","0.4","0.1","0.1","0.3","4.5","3.5","4.9","5.1","94.4","105.7"
"467","Usman Garuba","Hou","F","21.1","70","13.3","10.4","21.2","46","0.609","114","0.526","53","0.453","0.575","0.587","3.1","4.2","0.9","0.6","0.4","0.6","7.3","4.1","8.3","6.8","120.4","105.6"
"468","Anthony Gill","Was","F","30.5","53","9.9","11.7","10.2","55","0.782","83","0.687","22","0.136","0.586","0.642","3.1","1.5","0.5","0.1","0.2","0.2","4.7","3.6","5.2","5.4","134.8","108.8"
